AverageTemperature,City,Country,Year,Month
26.843,0.0,1.0,1853.0,8.0
26.291,0.0,1.0,1853.0,9.0
25.942,0.0,1.0,1853.0,10.0
26.246,0.0,1.0,1853.0,11.0
25.529,0.0,1.0,1853.0,12.0
23.859,0.0,1.0,1854.0,1.0
23.116,0.0,1.0,1854.0,2.0
24.708,0.0,1.0,1854.0,3.0
23.899,0.0,1.0,1854.0,4.0
25.896,0.0,1.0,1854.0,5.0
26.553,0.0,1.0,1854.0,6.0
26.422,0.0,1.0,1854.0,7.0
26.306,0.0,1.0,1854.0,8.0
26.003,0.0,1.0,1854.0,9.0
26.983,0.0,1.0,1854.0,10.0
25.995,0.0,1.0,1854.0,11.0
24.147,0.0,1.0,1854.0,12.0
25.252,0.0,1.0,1855.0,1.0
23.404,0.0,1.0,1855.0,2.0
22.99,0.0,1.0,1855.0,3.0
24.521,0.0,1.0,1855.0,4.0
26.881,0.0,1.0,1855.0,5.0
26.875,0.0,1.0,1855.0,6.0
26.112,0.0,1.0,1855.0,7.0
26.133,0.0,1.0,1855.0,8.0
25.407,0.0,1.0,1855.0,9.0
25.149,0.0,1.0,1855.0,10.0
25.903,0.0,1.0,1855.0,11.0
24.875,0.0,1.0,1855.0,12.0
22.9,0.0,1.0,1856.0,1.0
23.171,0.0,1.0,1856.0,2.0
23.403,0.0,1.0,1856.0,3.0
24.499,0.0,1.0,1856.0,4.0
25.529,0.0,1.0,1856.0,5.0
27.622,0.0,1.0,1856.0,6.0
27.031,0.0,1.0,1856.0,7.0
27.774,0.0,1.0,1856.0,8.0
25.523,0.0,1.0,1856.0,9.0
25.079,0.0,1.0,1856.0,10.0
24.832,0.0,1.0,1856.0,11.0
25.085,0.0,1.0,1856.0,12.0
24.368,0.0,1.0,1857.0,1.0
24.64,0.0,1.0,1857.0,2.0
22.985,0.0,1.0,1857.0,3.0
22.837,0.0,1.0,1857.0,4.0
25.193,0.0,1.0,1857.0,5.0
27.255,0.0,1.0,1857.0,6.0
27.513,0.0,1.0,1857.0,7.0
27.465,0.0,1.0,1857.0,8.0
26.056,0.0,1.0,1857.0,9.0
26.313,0.0,1.0,1857.0,10.0
26.44,0.0,1.0,1857.0,11.0
25.134,0.0,1.0,1857.0,12.0
25.741,0.0,1.0,1858.0,1.0
